Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
82	866.25	151.2752	988.0	615.0	980.8	12.1885195	996.0	963.0	1000.0	1000.0	327999	105.55746	40.35979	152.0262	1.5120108	-106.063866	0.789875	6138.576885938644
83	917.0	98.04336	986.0	748.0	982.5	12.745587	999.0	960.0	1000.0	1000.0	331999	105.15097	40.012306	152.03201	1.5118799	-105.68494	0.77697426	6218.114669084549
84	930.5	66.99813	977.0	815.0	967.6	15.988746	991.0	936.0	1000.0	1000.0	335999	105.08098	39.544014	149.96867	1.5139378	-105.62474	0.7563275	6297.526109933853
85	764.25	349.8295	992.0	159.0	687.0	447.65546	994.0	0.0	1000.0	1000.0	339999	105.17528	39.48077	149.77533	1.5269332	-105.714066	0.7977187	6376.889299631119
86	801.75	248.2291	989.0	375.0	867.6	290.50616	993.0	0.0	1000.0	1000.0	343999	105.3717	39.627697	150.577	1.5374281	-105.91709	0.7657379	6456.309721708298
87	720.75	299.6351	969.0	219.0	918.3	171.55644	1000.0	406.0	1000.0	1000.0	347999	105.58261	39.948925	151.52989	-2.8954062	-106.133194	0.7541399	6535.729015350342
88	980.75	9.202581	994.0	968.0	876.8	293.0484	1000.0	0.0	1000.0	1000.0	351999	105.96202	39.921585	153.32703	-6.122287	-106.52527	0.7052913	6615.216378688812
89	761.5	379.6436	989.0	104.0	872.0	288.55536	1000.0	7.0	1000.0	1000.0	355999	106.66315	39.187313	153.61299	-4.0023756	-107.2329	0.662296	6694.831891536713
90	822.75	292.0166	996.0	317.0	950.1	77.9172	1000.0	721.0	1000.0	1000.0	359999	107.29734	37.95546	152.39267	-0.5012785	-107.85481	0.6382794	6774.32101726532
91	745.25	430.2914	1000.0	0.0	977.9	9.873703	994.0	966.0	1000.0	1000.0	363999	107.2312	37.446354	149.35562	0.92349577	-107.776184	0.6226765	6854.048681259155
92	963.25	11.053845	979.0	948.0	954.0	71.43529	1000.0	743.0	1000.0	1000.0	367999	107.46972	37.080193	148.8689	1.6029544	-108.02834	0.6107854	6933.655035018921
93	956.5	15.850867	980.0	941.0	972.1	9.914131	984.0	955.0	1000.0	1000.0	371999	107.20638	36.609272	147.58301	1.6512655	-107.69834	0.61145496	7013.2773649692535
94	966.0	16.355427	988.0	945.0	780.2	384.064	997.0	0.0	1000.0	1000.0	375999	106.42008	36.59231	145.84583	1.6987909	-106.90468	0.6165521	7092.722583770752
95	916.25	60.66867	981.0	819.0	786.7	389.2182	997.0	3.0	1000.0	1000.0	379999	105.91884	36.33179	147.28047	1.7563862	-106.42437	0.61743474	7172.32972407341
96	985.75	10.8714075	998.0	969.0	783.3	390.42236	997.0	0.0	1000.0	1000.0	383999	106.08422	35.950554	149.52475	-6.3583107	-106.62427	0.6392339	7252.059860467911
97	744.5	250.08548	996.0	426.0	802.6	356.58893	1000.0	0.0	1000.0	1000.0	387999	106.75828	34.98994	150.79488	-10.047423	-107.278725	0.63603693	7332.1404185295105
