Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	LossFinal	Time
34	4.5	4.7169905	11.0	0.0	4.8	6.2257533	17.0	0.0	1000.0	1000.0	135999	0.10785601	1.1442833	12.163536	-0.9496163	0.10782093	1.1440699	11.242235	-0.98989105	-0.11540065	0.012604185	0.012604185	3041.427673816681
35	4.0	4.8989797	12.0	0.0	7.1	6.8036757	19.0	0.0	1000.0	1000.0	139999	0.0834775	1.0727551	11.331003	-0.87364703	0.08345677	1.0725731	11.449667	-0.96918976	-0.089510135	0.013175615	0.013175615	3142.067638397217
36	0.0	0.0	0.0	0.0	4.5	7.0035706	18.0	0.0	1000.0	1000.0	143999	0.069299206	1.0253878	12.435826	-0.8462825	0.06928077	1.0251353	12.180682	-0.90847456	-0.07709043	0.013319258	0.013319258	3238.3932676315308
37	2.0	2.4494898	6.0	0.0	1.1	1.9209372	6.0	0.0	1000.0	1000.0	147999	0.070196606	1.0455267	12.913195	-0.7837932	0.070200846	1.045228	13.239189	-0.7934551	-0.08226015	0.015578466	0.015578466	3337.54053068161
38	3.25	3.6996622	9.0	0.0	7.5	6.1846585	19.0	0.0	1000.0	1000.0	151999	0.06284543	1.0466307	13.286425	-0.8416872	0.06284706	1.0464194	12.849365	-0.9385463	-0.0677666	0.01500705	0.01500705	3438.013911008835
39	8.75	7.3271756	19.0	0.0	3.1	3.3600595	8.0	0.0	1000.0	1000.0	155999	0.055804897	1.0361902	13.166446	-0.80315095	0.055791285	1.0359493	12.885166	-0.792773	-0.062514074	0.0147425765	0.0147425765	3538.570925474167
40	5.25	5.3560715	12.0	0.0	3.4	4.294182	10.0	0.0	1000.0	1000.0	159999	0.04928458	1.0241507	12.131515	-0.7492386	0.049252152	1.0239327	11.501345	-0.7305447	-0.054301918	0.013285481	0.013285481	3638.8235824108124
41	2.25	3.8971143	9.0	0.0	5.1	5.9405384	17.0	0.0	1000.0	1000.0	163999	0.008313659	0.9890499	11.565354	-0.78549016	0.008296941	0.988929	12.020273	-0.7632034	-0.020278905	0.012240306	0.012240306	3739.0760350227356
42	1.5	2.598076	6.0	0.0	1.7	2.6095977	6.0	0.0	1000.0	1000.0	167999	-0.03196331	0.9763231	13.4089155	-0.8256937	-0.03199121	0.97593623	12.791413	-0.8152008	0.002807438	0.016387977	0.016387977	3840.3337337970734
43	1.0	1.7320508	4.0	0.0	4.7	7.321885	18.0	0.0	1000.0	1000.0	171999	-0.043659437	0.9215998	10.96266	-0.80191636	-0.043740965	0.9214651	11.429301	-0.79103017	0.02484165	0.012332289	0.012332289	3938.806391477585
