Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
44	891.49585	23.436321	927.9663	863.0232	886.6107	40.13941	945.3499	812.4548	1000.0	1000.0	175999	96.25687	10.253492	114.03175	68.08793	-96.704575	1.4027027	3238.929623365402
45	916.71515	25.011398	957.17523	891.4657	907.8553	45.97046	965.86346	808.7915	1000.0	1000.0	179999	96.29488	10.3773985	114.89373	67.15863	-96.75606	1.4322499	3313.7180392742157
46	959.10254	7.125104	967.56244	948.17303	915.14825	52.66939	966.8237	802.1289	1000.0	1000.0	183999	96.61331	10.15394	113.0963	66.97123	-97.06981	1.4027681	3389.526703119278
47	940.3902	13.42697	962.2761	928.5848	895.9409	37.07314	948.0312	827.2152	1000.0	1000.0	187999	96.84887	10.073859	112.924	64.98471	-97.297424	1.2947358	3464.9348459243774
48	943.7505	13.812358	964.28705	928.9544	935.3491	28.637743	987.14746	879.5082	1000.0	1000.0	191999	97.14835	9.703447	112.579025	65.39849	-97.588486	1.2722889	3540.0971298217773
49	914.4154	49.346237	951.2853	830.37695	906.5863	36.66188	966.1078	843.3103	1000.0	1000.0	195999	97.23919	9.647727	113.411224	67.47421	-97.65136	1.1889851	3615.3982219696045
50	906.27844	30.125633	956.6868	876.79926	916.06885	23.75073	957.8762	878.2908	1000.0	1000.0	199999	96.96051	9.823251	113.05494	67.950516	-97.366325	1.1762984	3690.550136089325
51	913.28784	24.883392	939.5026	872.5016	920.4076	33.31002	963.808	866.4014	1000.0	1000.0	203999	96.90764	9.947202	112.486534	67.19131	-97.3135	1.1735703	3765.723038673401
52	902.1162	27.318125	948.72174	879.0688	936.8817	32.453976	971.17535	882.32733	1000.0	1000.0	207999	96.80102	9.933883	111.79046	67.54878	-97.19069	1.1608357	3841.228940486908
53	935.05676	18.96777	957.3921	907.7546	934.5404	43.056427	980.9799	812.7534	1000.0	1000.0	211999	96.72937	9.945275	112.59169	65.62657	-97.116425	1.1507053	3921.9638118743896
54	945.98114	33.848705	980.76495	906.72186	890.4266	28.097626	929.2365	847.6523	1000.0	1000.0	215999	96.69882	9.882764	112.67785	67.525925	-97.08049	1.1497363	3997.5168108940125
55	906.345	25.859838	931.0221	869.1123	936.7344	30.042547	968.9999	883.9339	1000.0	1000.0	219999	96.62327	9.896004	111.58347	65.01794	-96.99078	1.1145446	4073.727858066559
56	917.21606	26.232521	946.43024	883.2451	953.57306	17.3959	979.6614	923.75604	1000.0	1000.0	223999	96.51505	10.039625	110.91988	65.89905	-96.88922	1.117546	4148.790095329285
57	933.35956	14.417369	954.7691	919.4258	905.9867	36.889652	945.5719	813.793	1000.0	1000.0	227999	96.71003	9.776971	110.94686	64.95752	-97.07828	1.1295012	4228.105868816376
58	933.04144	17.13403	947.8226	903.8604	913.4508	27.516384	969.70306	880.07556	1000.0	1000.0	231999	96.75437	9.586629	111.149826	64.3321	-97.10456	1.0617002	4306.061347723007
59	929.26733	31.869862	963.5083	887.32056	922.74817	22.872114	967.3255	895.9171	1000.0	1000.0	235999	96.64979	9.641365	111.669106	64.15726	-96.99542	1.038183	4382.333651781082
60	948.20404	18.071096	977.4919	931.163	925.3781	36.546635	987.59564	884.93384	1000.0	1000.0	239999	96.4792	9.755748	111.01897	64.387794	-96.81404	1.0184574	4459.513206243515
61	932.8326	21.916859	960.7126	899.6386	954.16736	26.202122	980.2377	899.8485	1000.0	1000.0	243999	96.4533	9.708516	110.60652	65.19987	-96.79142	1.0130631	4537.48131608963
62	886.2035	70.21023	939.8321	766.06635	937.98535	27.763048	976.5309	868.2787	1000.0	1000.0	247999	96.31831	9.704525	109.21327	63.310608	-96.64127	0.96831053	4613.900508403778
63	901.3645	49.86228	968.12244	829.0142	956.4586	19.278711	984.2812	923.0034	1000.0	1000.0	251999	96.20699	9.72825	111.2459	65.47364	-96.526344	0.98911476	4690.264753818512
64	942.0838	30.511267	978.7078	901.00653	946.20917	20.624332	982.0567	908.0357	1000.0	1000.0	255999	96.22392	9.614492	109.44823	67.0356	-96.54333	0.9530792	4769.29829621315
