Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	167999	0.002859767	0.00043706884	0.006677402	0.0003656833	-0.002860103	3.021121e-05	3116.2630388736725
43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	171999	0.0027535865	0.00039365838	0.0072753625	4.4474225e-05	-0.0027535667	1.7656765e-05	3199.849952697754
44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	175999	0.0026366755	0.000394158	0.006328195	0.00013260031	-0.0026368801	2.2663813e-05	3283.3408834934235
45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	179999	0.0026138849	0.0004270613	0.0064204726	-2.9044139e-05	-0.0026141705	2.5187117e-05	3366.735790491104
46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	183999	0.0024758764	0.00038385647	0.006747686	-0.00048784626	-0.0024762142	1.765227e-05	3450.1978862285614
47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	187999	0.002382884	0.00040235	0.006496569	-0.0001829222	-0.0023828126	2.0156813e-05	3533.498391389847
48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	191999	0.0024529847	0.0004074613	0.0066151717	-0.0005182449	-0.0024535388	2.2667058e-05	3616.9909093379974
49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	195999	0.0023113142	0.0003959786	0.006157761	-0.00031406755	-0.002311609	2.0160702e-05	3700.3224890232086
50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	199999	0.0022532123	0.0003893404	0.006356184	-0.00067817693	-0.0022536954	1.766607e-05	3783.901265859604
51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	203999	0.0022210053	0.00039022003	0.005968403	-0.0003018645	-0.0022211093	2.01577e-05	3867.0715560913086
52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	207999	0.0020504491	0.0003167453	0.006570101	-0.0011544451	-0.0020505376	1.0102626e-05	3950.399305820465
53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	211999	0.0019560526	0.00041679374	0.006367544	-0.0010967569	-0.0019562135	2.5171888e-05	4033.6710855960846
54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	215999	0.001993705	0.00033047594	0.0065943636	-0.0013940048	-0.0019938012	1.2605933e-05	4116.674662351608
55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	219999	0.0020631554	0.00045781548	0.0055034854	-0.00031350838	-0.0020634546	3.0205e-05	4200.051735877991
56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	223999	0.0021389993	0.0003697629	0.005902554	-0.00036545828	-0.0021393	1.7638937e-05	4283.306001424789
57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	227999	0.0019709568	0.0003681199	0.0065091546	-0.0011610007	-0.0019711866	1.5139639e-05	4366.670804977417
58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	231999	0.0019418431	0.00033259395	0.0062420354	-0.0010507485	-0.0019418218	1.2609808e-05	4450.0613532066345
