Checkpoint,Return,Undiscounted Return,Soft Return,Q1,Q2,AvgQ,MSE,MAE
27.0,43.21223335616273,503.05,51.750202369689944,58.36296443939209,58.5371639251709,58.450064182281494,44.888148307822526,6.69986181259155
28.0,46.40513218834126,529.45,51.548617935180665,60.583339309692384,60.63054943084717,60.60694437026977,82.05327780463413,9.058326435089107
29.0,39.64974878831892,469.1,46.24581842422485,59.49848251342773,59.432650566101074,59.4655665397644,174.76174023831155,13.219748115539552
30.0,47.002592144424426,539.65,52.22264919281006,60.13643321990967,60.26346893310547,60.19995107650757,63.637345343643794,7.977301883697507
31.0,46.819496653390345,543.8,52.130363845825194,60.87747497558594,60.942085647583006,60.90978031158447,77.07815347924509,8.779416465759276
32.0,46.26194653768962,520.15,51.61488542556763,61.02932338714599,60.9655876159668,60.997455501556395,88.03262123083985,9.382570075988767
33.0,46.86125688013048,541.4,51.66963539123535,60.753370094299314,60.60239086151123,60.677880477905276,81.14847954151281,9.008245086669923
34.0,47.16625054997692,557.8,52.704106140136716,62.057141876220705,61.92427234649658,61.990707111358645,86.24095759870008,9.28660097122193
35.0,49.222400063608845,545.6,55.662180519104005,62.45512504577637,62.638968276977536,62.54704666137695,47.401381797016384,6.884866142272948
36.0,53.23491005492942,598.05,57.478096866607665,63.209444999694824,63.189253616333005,63.199349308013915,32.732729498296976,5.72125244140625
37.0,53.82169921387634,649.7,58.635246658325194,61.979522705078125,62.10855350494385,62.04403810501098,11.619859126998199,3.4087914466857896
38.0,59.826781805170626,685.05,61.99921817779541,63.799502563476565,63.87286434173584,63.8361834526062,3.3744414208606694,1.8369652748107868
39.0,59.613256669378686,677.45,61.05549297332764,65.03098316192627,64.79049396514893,64.91073856353759,14.862918560833295,3.855245590209954
40.0,63.09544184700748,719.35,60.949684715271,64.77414398193359,64.87917881011963,64.82666139602661,15.030948183122794,3.876976680755611
41.0,57.02545099891192,652.6,60.963124656677245,67.49715652465821,67.36597633361816,67.43156642913819,41.84073896371765,6.468441772460942
42.0,60.84167048510924,688.3,63.29849109649658,67.34749927520753,67.69749221801757,67.52249574661255,17.8422152842013,4.224004650115965
