Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	LossFinal	Time
46	776.96655	348.51505	995.9193	173.65805	646.2754	390.65414	979.9752	164.21532	1000.0	1000.0	183999	35.945004	19.968712	74.42036	7.6866846	35.94506	19.968615	74.33049	10.416187	-36.242016	0.36714587	0.36714587	4294.806219100952
47	572.6065	407.4267	984.8956	164.65887	349.4157	240.25407	909.61597	163.52739	1000.0	1000.0	187999	36.967766	21.001104	76.46861	8.798443	36.967785	21.001034	76.408966	10.169149	-37.23316	0.3723377	0.3723377	4415.579124689102
48	812.119	293.97418	996.16833	303.17093	642.3511	388.1663	976.2058	165.82147	1000.0	1000.0	191999	38.149162	22.046429	88.0595	8.696427	38.14913	22.046349	81.645096	10.576045	-38.389706	0.44246745	0.44246745	4522.44696521759
49	785.27344	358.0335	995.8292	165.19012	232.31992	251.46652	985.3244	133.02295	1000.0	1000.0	195999	39.579426	23.047396	81.14626	7.86384	39.579456	23.04729	80.77327	8.158838	-39.855453	0.4294115	0.4294115	4619.637265443802
50	565.00415	429.56314	996.63574	134.32936	309.97556	334.9124	988.4353	136.84448	1000.0	1000.0	199999	40.303574	23.672567	81.599724	3.2874296	40.30358	23.672394	81.38052	3.226345	-40.481945	0.44738984	0.44738984	4718.302904844284
51	957.67523	36.156425	996.8816	916.0402	721.9796	363.80725	998.3077	162.6843	1000.0	1000.0	203999	40.633724	24.075352	83.4295	4.7264166	40.633736	24.075493	83.94663	0.3283553	-40.859386	0.52176523	0.52176523	4820.535207033157
52	761.55707	347.18692	994.8849	161.92809	493.18048	407.8023	997.7859	129.68025	1000.0	1000.0	207999	42.065216	25.08739	84.41643	-4.2073326	42.0653	25.087189	84.52895	4.087684	-42.37453	0.5699911	0.5699911	4923.360188961029
53	666.4885	343.71512	995.16797	164.23622	590.0646	390.5713	993.9874	164.06023	1000.0	1000.0	211999	43.12178	25.748861	86.01587	1.8179126	43.121796	25.748865	85.87917	-1.334166	-43.47115	0.6143977	0.6143977	5026.010102033615
54	780.83997	334.73465	993.75793	201.47928	886.71826	242.09384	994.7447	163.48326	1000.0	1000.0	215999	44.33406	26.46081	88.66068	1.9716163	44.334045	26.460894	87.15591	-8.381781	-44.59278	0.5534168	0.5534168	5129.071112394333
55	564.67053	400.67654	977.17175	163.33295	413.62646	371.80896	995.54846	164.51276	1000.0	1000.0	219999	44.7919	27.04873	89.052864	1.6476686	44.7919	27.0486	89.54387	0.8890357	-45.077694	0.55078185	0.55078185	5225.330051898956
56	567.4749	401.61182	972.14886	165.18962	655.8988	400.4699	993.69574	163.19331	1000.0	1000.0	223999	45.452206	27.55795	89.85484	-3.9488351	45.452236	27.55809	90.01956	-7.779892	-45.629124	0.57524794	0.57524794	5325.847999095917
57	563.733	397.47418	973.5189	165.9683	496.38788	395.9354	995.48206	160.77365	1000.0	1000.0	227999	46.194275	28.225418	98.994896	-1.7572525	46.194294	28.225592	89.45385	-3.4867945	-46.479683	0.6294277	0.6294277	5428.983031749725
58	751.1175	338.3882	970.8128	166.04988	878.766	239.18163	991.73706	165.55772	1000.0	1000.0	231999	46.792664	28.659206	91.325676	3.1157107	46.79265	28.659302	91.41315	-1.5295525	-47.104137	0.5841989	0.5841989	5531.476619958878
59	962.64966	12.424991	972.3145	941.50287	881.5875	238.16113	993.361	170.45045	1000.0	1000.0	235999	47.68426	29.146786	103.85747	-6.818989	47.684364	29.146706	92.231026	-3.6296873	-47.930485	0.5544482	0.5544482	5634.087535142899
60	973.9052	3.2759776	978.6162	969.64545	791.94617	309.4454	994.52814	160.84561	1000.0	1000.0	239999	48.4622	29.55421	91.74219	-7.5369396	48.462227	29.554224	92.71906	-6.5754747	-48.807114	0.58811635	0.58811635	5735.7746460437775
61	762.5038	345.11337	975.68317	164.99469	731.9919	347.63684	994.1951	164.72507	1000.0	1000.0	243999	49.223564	30.01876	96.92592	-7.4345694	49.223625	30.018347	94.11928	-12.850312	-49.586266	0.54699004	0.54699004	5833.619681119919
62	565.7707	403.1607	970.1943	158.14227	735.34827	358.85294	994.7091	165.40103	1000.0	1000.0	247999	49.670155	30.45937	94.92224	-15.890165	49.670185	30.459478	95.62099	-21.59103	-49.94192	0.5415245	0.5415245	5934.865831375122
63	945.0918	52.31538	993.93207	857.2921	556.1666	387.63788	961.07056	165.34996	1000.0	1000.0	251999	50.48218	30.924799	102.174355	-18.669306	50.482204	30.924837	101.6149	-20.807817	-50.775936	0.6399978	0.6399978	6037.830404520035
64	578.8907	405.45355	993.5488	167.6771	732.5399	356.66733	992.88257	167.56525	1000.0	1000.0	255999	51.299606	31.292412	95.33028	-17.501677	51.299664	31.2922	95.36031	-15.120453	-51.690952	0.59813714	0.59813714	6140.625294208527
65	381.561	332.63193	957.19794	167.3934	725.3294	362.92847	974.06195	165.62619	1000.0	1000.0	259999	51.296505	31.584328	94.512314	-10.044345	51.29658	31.584328	95.43513	-12.23092	-51.588863	0.6487795	0.6487795	6244.365542650223
66	385.51306	352.17374	995.3083	170.96094	335.77216	318.93448	972.8762	163.32846	1000.0	1000.0	263999	51.267555	31.889639	95.40965	-4.592392	51.26758	31.889437	95.538506	-2.0157332	-51.534283	0.62109035	0.62109035	6345.114418029785
67	575.65466	396.95526	974.2858	166.1398	812.08093	323.79108	995.84644	163.10843	1000.0	1000.0	267999	51.368275	32.069828	94.56748	-1.6345909	51.36835	32.069798	95.58533	1.8261776	-51.642292	0.59915257	0.59915257	6443.424249172211
68	571.536	406.82755	993.9848	163.9191	732.84216	366.58472	993.95605	166.92012	1000.0	1000.0	271999	52.010715	32.34054	94.818886	-2.356051	52.0107	32.34051	95.080956	5.838108	-52.363987	0.5560763	0.5560763	6546.283306121826
