Checkpoint,Return,Undiscounted Return,Soft Return,Q1,Q2,AvgQ,MSE,MAE
44.0,0.0,0.0,26.98925428390503,27.0855504989624,27.100271034240723,27.092910766601562,0.01074466640501654,0.10365648269653249
45.0,0.0,0.0,27.09547996520996,27.052818870544435,27.058982849121094,27.055900859832764,0.0015665055824592292,0.039579105377196555
46.0,0.0,0.0,26.999618244171142,27.100290298461914,27.093185329437254,27.096737813949584,0.009432210833949739,0.09711956977844238
47.0,0.0,0.0,27.051937961578368,27.109071922302245,27.107112979888917,27.10809245109558,0.0031533266929386627,0.056154489517211914
48.0,0.0,0.0,27.140342712402344,27.10012216567993,27.111596202850343,27.105859184265135,0.001189113712789647,0.03448352813720845
49.0,0.0,0.0,26.929433345794678,27.11240119934082,27.09436378479004,27.10338249206543,0.030258305488322965,0.17394914627075053
50.0,0.0,0.0,27.122035598754884,27.136013889312743,27.140499305725097,27.13825659751892,0.00026312080090290204,0.016220998764037375
51.0,0.0,0.0,27.056787395477294,27.132913017272948,27.137968063354492,27.13544054031372,0.006186317192659883,0.07865314483642649
52.0,0.0,0.0,27.07007999420166,27.071765995025636,27.061239433288574,27.066502714157103,1.2796932517181257e-05,0.0035772800445563746
53.0,0.0,0.0,27.086085510253906,27.063759899139406,27.065191745758057,27.06447582244873,0.00046697860703710147,0.02160968780517436
54.0,0.0,0.0,27.04144067764282,27.10489797592163,27.11641893386841,27.11065845489502,0.004791100687734994,0.06921777725219869
55.0,0.0,0.0,27.140974140167238,27.094505310058594,27.090515422821046,27.092510366439818,0.002348737363902549,0.048463773727419834
56.0,0.0,0.0,27.04364185333252,27.120011234283446,27.10560483932495,27.1128080368042,0.004783960936038056,0.06916618347167969
57.0,0.0,0.0,27.066397380828857,27.10960464477539,27.111774730682374,27.110689687728883,0.0019618084505260763,0.044292306900025835
58.0,0.0,0.0,27.110752677917482,27.14039764404297,27.114833450317384,27.127615547180177,0.00028435635977075435,0.016862869262695312
59.0,0.0,0.0,27.06439971923828,27.080142211914062,27.098755073547363,27.089448642730712,0.0006274485681296582,0.02504892349243093
60.0,0.0,0.0,27.121583652496337,27.086886978149415,27.09957685470581,27.093231916427612,0.0008038209381106351,0.028351736068724875
61.0,0.0,0.0,27.112742710113526,27.066044521331786,27.068399524688722,27.067222023010252,0.002072132954354141,0.045520687103273616
62.0,0.0,0.0,27.11191921234131,27.134882545471193,27.116533279418945,27.12570791244507,0.00019012825055142457,0.013788700103759766
63.0,0.0,0.0,27.01043462753296,27.076259994506835,27.086388111114502,27.08132405281067,0.005025310616203923,0.07088942527770925
64.0,0.0,0.0,27.087934589385988,27.101175594329835,27.10899591445923,27.10508575439453,0.0002941624611502382,0.01715116500854208
65.0,0.0,0.0,27.07341785430908,27.095180130004884,27.120792198181153,27.107986164093017,0.001194968041318134,0.03456830978393555
66.0,0.0,0.0,27.056633377075194,27.1584511756897,27.129071044921876,27.143761110305785,0.0075912418979011236,0.08712773323059153
67.0,0.0,0.0,27.097033882141112,27.081135559082032,27.061597061157226,27.07136631011963,0.0006588242534780145,0.025667572021482954
68.0,0.0,0.0,27.01883487701416,27.065858840942383,27.06636848449707,27.066113662719726,0.0022352835777927358,0.047278785705564985
69.0,0.0,0.0,27.04057092666626,27.07294816970825,27.068063259124756,27.070505714416505,0.0008960915176522943,0.029934787750246272
70.0,0.0,0.0,27.120351600646973,27.059217929840088,27.05149335861206,27.055355644226076,0.004224474351067237,0.06499595642089773
71.0,0.0,0.0,27.08549337387085,27.11745834350586,27.12120475769043,27.119331550598144,0.0011450222042275475,0.0338381767272935
72.0,0.0,0.0,27.084845447540282,27.05409641265869,27.061577606201173,27.05783700942993,0.0007294557291606139,0.02700843811035014
73.0,0.0,0.0,27.1469162940979,27.078062343597413,27.08868646621704,27.083374404907225,0.0040375716819198715,0.06354188919067383
74.0,0.0,0.0,27.14548225402832,27.01820602416992,27.017999172210693,27.018102598190307,0.01622557672141056,0.1273796558380127
75.0,0.0,0.0,27.028756427764893,27.042928886413574,27.04246759414673,27.042698240280153,0.00019437413621064642,0.0139418125152595
76.0,0.0,0.0,27.133895111083984,27.07186851501465,27.05590124130249,27.063884878158568,0.004901432714270968,0.07001023292541575
77.0,0.0,0.0,27.084526824951173,27.038102054595946,27.045460414886474,27.04178123474121,0.0018271854823979083,0.04274559020996094
78.0,0.0,0.0,27.122987461090087,27.013318824768067,26.99636344909668,27.004841136932374,0.0139585539119795,0.11814632415771342
79.0,0.0,0.0,27.055655193328857,27.023167037963866,27.01594877243042,27.019557905197143,0.0013030142104639708,0.03609728813171387
80.0,0.0,0.0,27.112214183807374,27.023713207244874,26.99792423248291,27.01081871986389,0.010281040108314134,0.10139546394348287
81.0,0.0,0.0,27.105084133148193,26.96884365081787,26.98764114379883,26.97824239730835,0.016088825950864524,0.12684173583984304
82.0,0.0,0.0,27.043795776367187,27.019467449188234,26.990322875976563,27.004895162582397,0.0015132577528333968,0.03890061378479004
83.0,0.0,0.0,27.0024169921875,27.008567237854002,27.011202812194824,27.009885025024413,5.577151445323731e-05,0.007468032836914773
84.0,0.0,0.0,27.022484302520752,26.988872909545897,26.992891693115233,26.990882301330565,0.0009986864792245786,0.03160200119018697
85.0,0.0,0.0,27.0699143409729,26.972489166259766,26.9853946685791,26.978941917419434,0.00827598184719136,0.0909724235534668
86.0,0.0,0.0,27.00052785873413,26.969992637634277,26.95074682235718,26.960369729995726,0.0016126753037702887,0.04015812873840474
87.0,0.0,0.0,27.13893241882324,26.98540277481079,26.961043071746825,26.973222923278808,0.027459636913590657,0.1657094955444336
88.0,0.0,0.0,27.019088554382325,26.93537826538086,26.954428958892823,26.94490361213684,0.005503405655965813,0.07418494224548411
89.0,0.0,0.0,27.075768566131593,26.930409145355224,26.964935398101808,26.947672271728514,0.01640866063980029,0.12809629440307901
90.0,0.0,0.0,27.073803329467772,26.971260356903077,26.965343761444093,26.968302059173585,0.011130518033687172,0.10550127029418732
91.0,0.0,0.0,27.04525022506714,26.977347469329835,26.99892177581787,26.988134622573853,0.0032621920481711543,0.05711560249328684
92.0,0.0,0.0,27.0354154586792,26.933098316192627,26.93498001098633,26.93403916358948,0.010277153206118328,0.10137629508972168
93.0,0.0,0.0,27.034571838378906,26.931125164031982,26.956617164611817,26.943871164321898,0.008226612274395521,0.09070067405700755
94.0,0.0,0.0,27.0216926574707,26.96363010406494,26.94521312713623,26.954421615600587,0.004525393074290678,0.06727104187011435
95.0,0.0,0.0,27.009616088867187,26.93154630661011,26.962087154388428,26.94681673049927,0.0039437594114222554,0.0627993583679185
96.0,0.0,0.0,27.121159553527832,26.930574893951416,26.89345064163208,26.912012767791747,0.043742377983735724,0.2091467857360847
